task,cv,cue_col,cue_label,baseline_n,plus_tribe_n,baseline_n_features,plus_tribe_n_features,baseline_r2,plus_tribe_r2,delta_r2,baseline_spearman,plus_tribe_spearman,delta_spearman,baseline_top_bottom_25_auc_from_continuous_score,plus_tribe_top_bottom_25_auc_from_continuous_score,delta_top_bottom_25_auc_from_continuous_score
continuous_ridge,10fold,ocr_brand_present,OCR brand text,398,398,1,36,0.005972517479275075,0.12466367441991455,0.11869115694063948,-0.013772395422339542,0.36714067895504254,0.3809130743773821,0.4694081336238199,0.7795933188090051,0.3101851851851852
continuous_ridge,10fold,strong_people_present,Strong people,398,398,1,36,-0.006930102083466005,0.12262703557146115,0.12955713765492716,-0.05469449142113767,0.360849120161666,0.4155436115828037,0.42860384894698617,0.7709694989106755,0.3423656499636893
continuous_ridge,10fold,face_closeup_present,Face close-up,398,398,1,36,-0.007374542412044605,0.11713731234569313,0.12451185475773774,-0.08980423147164451,0.35822759767594503,0.44803182914758954,0.4371822803195352,0.7760530137981118,0.33887073347857655
continuous_ridge,10fold,saturation_mean,Mean saturation,398,398,1,36,0.0007846054652445034,0.12132333867432288,0.12053873320907837,0.061504181926749696,0.36190277329070636,0.30039859136395664,0.5618191721132898,0.7817719680464779,0.21995279593318806
continuous_ridge,10fold,high_saturation_present,High saturation window,398,398,1,36,-0.007932333579350859,0.11824923726032288,0.12618157083967374,-0.0610405505730395,0.35759755669371696,0.41863810726675643,0.47090595497458243,0.7767792302106028,0.30587327523602037
continuous_ridge,10fold,non_upbeat_audio,Non-upbeat audio,398,398,1,36,0.003989550505631212,0.11883223580436009,0.11484268529872887,-0.0607694558147926,0.3597226601819603,0.4204921159967529,0.4181190994916485,0.7792302106027595,0.36111111111111105
continuous_ridge,10fold,non_funny_visual,Non-funny visual,398,398,1,36,0.006910672942593288,0.12093838590519068,0.1140277129625974,-0.05585068510692203,0.3611907889118471,0.4170414740187691,0.42982933914306465,0.7771423384168483,0.3473129992737837
continuous_ridge,loo,ocr_brand_present,OCR brand text,398,398,1,36,0.008213694883647094,0.10654384573773024,0.09833015085408314,-0.5422341015117128,0.35125441448457495,0.8934885159962878,0.24863834422657954,0.7707879448075525,0.5221496005809729
continuous_ridge,loo,strong_people_present,Strong people,398,398,1,36,-0.0020879373063453777,0.10749511034227988,0.10958304764862525,-0.46507219858643256,0.35171285971288196,0.8167850582993146,0.25163398692810457,0.7663398692810458,0.5147058823529412
continuous_ridge,loo,face_closeup_present,Face close-up,398,398,1,36,-0.009463398348518837,0.10007971901801938,0.10954311736653821,-0.48413098895872353,0.34350062764724787,0.8276316166059714,0.26942628903413224,0.769880174291939,0.5004538852578068
continuous_ridge,loo,saturation_mean,Mean saturation,398,398,1,36,-0.002744846815614377,0.10282708342120384,0.10557193023681821,0.04584223869421435,0.3465222547083899,0.30068001601417554,0.5554647785039942,0.7706063907044298,0.2151416122004356
continuous_ridge,loo,high_saturation_present,High saturation window,398,398,1,36,-0.007953688050791552,0.10028329851964246,0.10823698657043401,-0.46466744789157804,0.3429217893913701,0.8075892372829481,0.3079157588961511,0.77060639070443,0.46269063180827896
continuous_ridge,loo,non_upbeat_audio,Non-upbeat audio,398,398,1,36,0.001426984696170308,0.10052933332750491,0.0991023486313346,-0.7834494163705515,0.3442849430150034,1.1277343593855549,0.10784313725490201,0.7716957153231664,0.6638525780682644
continuous_ridge,loo,non_funny_visual,Non-funny visual,398,398,1,36,0.003919200050429117,0.10243128834505666,0.09851208829462754,-0.7951314414057052,0.346732014576189,1.1418634559818943,0.09685911401597676,0.7708787218591141,0.6740196078431373
