cue,cue_col,roi,n_present,n_absent,present_mean_abs_activation,absent_mean_abs_activation,mean_diff_present_minus_absent,cohens_d_present_minus_absent,welch_t,p_value
OCR brand text,ocr_brand_present,dlPFC,88,308,0.0624289094262972,0.07013471884884714,-0.007705809422549947,-0.2582781974988149,-2.305990428363882,0.02240770310616719
OCR brand text,ocr_brand_present,Amygdala,88,308,0.057699693732596494,0.05022785472476445,0.0074718390078320415,0.3668811135800312,2.7097160906229654,0.007705153139906405
OCR brand text,ocr_brand_present,vmPFC,88,308,0.032775648203379186,0.03432744274676935,-0.0015517945433901614,-0.09743350108164996,-0.8722408696807039,0.38439116635605747
OCR brand text,ocr_brand_present,Hippocampus,88,308,0.04489738283687956,0.044760452493467426,0.00013693034341213245,0.009543944589874028,0.08759728897623638,0.930302142078817
OCR brand text,ocr_brand_present,Ventral striatum,88,308,0.050459538574039,0.055209865634116985,-0.004750327060077983,-0.3006081631791053,-2.5632225014019863,0.011374904776399469
Strong people,strong_people_present,dlPFC,253,143,0.06772476800769066,0.06965644146163175,-0.001931673453941088,-0.06440358762667096,-0.6212409556641844,0.534908238507492
Strong people,strong_people_present,Amygdala,253,143,0.05055023173462063,0.05425555017368479,-0.003705318439064159,-0.18052575267760393,-1.7782472914334941,0.07630685630942956
Strong people,strong_people_present,vmPFC,253,143,0.03382560392467974,0.03426036094376471,-0.0004347570190849706,-0.027277234634209536,-0.2596621056643886,0.7953078926990275
Strong people,strong_people_present,Hippocampus,253,143,0.04577664089557207,0.04304684553184362,0.0027297953637284503,0.19106683950595238,1.9384081211116562,0.05338083118157531
Strong people,strong_people_present,Ventral striatum,253,143,0.05505010189014529,0.052569246374942015,0.002480855515203273,0.15621463636116226,1.4966453586614183,0.13554787758346012
Face close-up,face_closeup_present,dlPFC,196,200,0.06896285626129496,0.06789258803872633,0.0010702682225686294,0.03567217916133641,0.3555208875089556,0.7223938390856965
Face close-up,face_closeup_present,Amygdala,196,200,0.054442963342373966,0.04938465744295323,0.005058305899420738,0.2473988788948686,2.453829391298003,0.01461263204516796
Face close-up,face_closeup_present,vmPFC,196,200,0.03440348298046794,0.033570133718653056,0.0008333492618148863,0.05229889368167219,0.520782021912628,0.6028123512308848
Face close-up,face_closeup_present,Hippocampus,196,200,0.046476807929735985,0.0431386735170256,0.0033381344127103862,0.23426216536042704,2.3310561573855892,0.020254157450414385
Face close-up,face_closeup_present,Ventral striatum,196,200,0.055264952636085975,0.053065736465753084,0.0021992161703328905,0.138422192718646,1.3785771697031937,0.16881208541742804
Mean saturation,high_saturation_mean_median_split,dlPFC,200,196,0.06682125607052612,0.07005605214721353,-0.0032347960766874045,-0.10795665396979136,-1.0731026826492538,0.2838900705103511
Mean saturation,high_saturation_mean_median_split,Amygdala,200,196,0.05141945751809332,0.05236663673508816,-0.0009471792169948381,-0.04598607450409643,-0.4571072745248901,0.6478490233115385
Mean saturation,high_saturation_mean_median_split,vmPFC,200,196,0.03270637250429347,0.0352848719747124,-0.002578499470418931,-0.1622989334406259,-1.6119596219047574,0.10780096055016851
Mean saturation,high_saturation_mean_median_split,Hippocampus,200,196,0.044966518911710746,0.044611659567812344,0.00035485934389840185,0.02473514143321791,0.2459949607760788,0.8058147231466434
Mean saturation,high_saturation_mean_median_split,Ventral striatum,200,196,0.05289977146784842,0.05543430467476421,-0.0025345332069157886,-0.1596537535464694,-1.587599579818028,0.1131833736029553
High saturation window,high_saturation_present,dlPFC,224,172,0.06959791088389039,0.06689131044748621,0.00270660043640418,0.09028766480210303,0.8943029012550098,0.37173568849237076
High saturation window,high_saturation_present,Amygdala,224,172,0.0536085408301339,0.04964790207991831,0.0039606387502155935,0.1931233645568819,1.8841299159922587,0.060372281442063296
High saturation window,high_saturation_present,vmPFC,224,172,0.03462704956746272,0.03314331572552719,0.0014837338419355292,0.09318314863654692,0.9109586629086172,0.36293559520248053
High saturation window,high_saturation_present,Hippocampus,224,172,0.045421462049293634,0.04396966022436976,0.0014518018249238748,0.10131688962428792,0.996835986349222,0.3195054605867468
High saturation window,high_saturation_present,Ventral striatum,224,172,0.05320075919269441,0.05539597645732511,-0.0021952172646306986,-0.13816360673175715,-1.356142161668715,0.17590155850002645
Non-upbeat audio,non_upbeat_audio,dlPFC,36,360,0.055577851942004784,0.0697067632362414,-0.014128911294236622,-0.47523923368409643,-3.096107147455093,0.003362698463847806
