sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline control,Duration only,standardized,398,1,1,euclidean,0.1554239392280578,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline control,Duration only,standardized,210,1,1,euclidean,0.226662203669548,0.0099009900990099,100,21945,0.8425338097262066,1.1817108405213157,0.3391770307951091,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline control,Low-level video sensory,standardized,398,13,13,correlation,0.0009220422944054,0.7722772277227723,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline control,Low-level video sensory,standardized,210,13,13,correlation,0.0067812143824994,0.3168316831683168,100,21945,0.997483454418415,1.0042444886065984,0.0067610341881834,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline control,Low-level audio sensory,standardized,398,5,5,correlation,0.0035938185174018,0.2277227722772277,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline control,Low-level audio sensory,standardized,210,5,5,correlation,0.0117136733606457,0.0594059405940594,100,21945,0.9975464496987724,1.0116033995673388,0.0140569498685663,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline control,Low-level sensory all,standardized,398,20,20,correlation,0.0390211641788482,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline control,Low-level sensory all,standardized,210,20,20,correlation,0.0852415710687637,0.0099009900990099,100,21945,0.9694796621012188,1.0352768657244245,0.0657972036232055,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline modality,CLIP visual embedding,pca50,398,512,50,correlation,0.0445500090718269,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline modality,CLIP visual embedding,pca50,210,512,50,correlation,0.0927901417016983,0.0099009900990099,100,21945,0.9856894327336182,1.0202733272738884,0.0345838945402702,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline modality,CLAP audio embedding,pca50,398,512,50,correlation,0.0343914739787578,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline modality,CLAP audio embedding,pca50,210,512,50,correlation,0.0397564843297004,0.0099009900990099,100,21945,0.9928041025386208,1.0132308991515968,0.020426796612976,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline modality,ASR text embedding/meta,pca50,398,518,50,correlation,0.010692742653191,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline modality,ASR text embedding/meta,pca50,210,518,50,correlation,0.0185377392917871,0.0396039603960396,100,21945,0.9964703120595092,1.0013357958549525,0.0048654837954432,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline modality,ACR content tags,standardized,398,44,44,correlation,0.0469622090458869,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline modality,ACR content tags,standardized,210,44,44,correlation,0.0807486772537231,0.0099009900990099,100,21945,0.9817541581245136,1.0230203085929073,0.0412661504683936,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline cue,OCR timing,standardized,398,13,13,correlation,0.0081636635586619,0.0792079207920792,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline cue,OCR timing,standardized,210,13,13,correlation,-0.0022844925988465,0.6831683168316832,100,21945,0.9909286894911092,0.9896271507498028,-0.0013015387413062,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline cue,CLIP content timing all,standardized,398,48,48,correlation,0.0281949900090694,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline cue,CLIP content timing all,standardized,210,48,48,correlation,0.0682525113224983,0.0099009900990099,100,21945,0.9825466031256954,1.0242201135479692,0.0416735104222737,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE set,TRIBE 3ROI abs,standardized,398,21,21,correlation,0.0381068363785743,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE set,TRIBE 3ROI abs,standardized,210,21,21,correlation,0.1139235571026802,0.0099009900990099,100,21945,0.9599019045862748,1.0437841830822123,0.0838822784959376,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE set,TRIBE 5ROI abs,standardized,398,35,35,correlation,0.0657171383500099,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE set,TRIBE 5ROI abs,standardized,210,35,35,correlation,0.1610118746757507,0.0099009900990099,100,21945,0.948586386744568,1.0574496881706188,0.1088633014260509,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE set,TRIBE 5ROI signed,standardized,398,35,35,correlation,0.0487194061279296,0.0099009900990099,100,79003,,,,,
