sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Baseline control,Duration only,standardized,398,1,1,euclidean,0.1554239392280578,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI,TRIBE ROI Ventral striatum,standardized,398,7,7,correlation,0.0795598402619361,0.0099009900990099,100,79003,,,,subcortical_ventral_striatum_accumbens,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Ventral striatum Last 5s,standardized,398,1,1,euclidean,0.0791208371520042,0.0099009900990099,100,79003,,,,subcortical_ventral_striatum_accumbens,last5
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Peak 10s,standardized,398,1,1,euclidean,0.0741184800863266,0.0099009900990099,100,79003,,,,cortical_dlPFC,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Abs peak 10s,standardized,398,1,1,euclidean,0.0714216381311416,0.0099009900990099,100,79003,,,,cortical_dlPFC,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Whole,standardized,398,5,5,correlation,0.0703427419066429,0.0099009900990099,100,79003,,,,,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window 25-75%,standardized,398,5,5,correlation,0.0688596293330192,0.0099009900990099,100,79003,,,,,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,Ventral striatum Peak 10s,standardized,398,1,1,euclidean,0.0664798840880394,0.0099009900990099,100,79003,,,,subcortical_ventral_striatum_accumbens,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE set,TRIBE 5ROI abs,standardized,398,35,35,correlation,0.0657171383500099,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Whole,standardized,398,1,1,euclidean,0.0630192905664444,0.0099009900990099,100,79003,,,,cortical_dlPFC,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,Content timing + TRIBE 5ROI,pca50,398,83,50,correlation,0.0626189559698104,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,Combined,OCR + TRIBE 5ROI,standardized,398,48,48,correlation,0.0614548064768314,0.0099009900990099,100,79003,,,,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Baseline control,Duration only,standardized,210,1,1,euclidean,0.226662203669548,0.0099009900990099,100,21945,0.8425338097262066,1.1817108405213157,0.3391770307951091,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window 25-75%,standardized,210,5,5,correlation,0.1859621405601501,0.0099009900990099,100,21945,0.8986519207911774,1.1078354908345576,0.2091835700433801,,pct25_75
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Whole,standardized,210,5,5,correlation,0.1775040626525879,0.0099009900990099,100,21945,0.8992131115563952,1.103654565543853,0.2044414539874578,,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,Content timing + TRIBE 5ROI,pca50,210,83,50,correlation,0.1640739291906356,0.0099009900990099,100,21945,0.9643419420721346,1.0439814493792967,0.079639507307162,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,OCR + TRIBE 5ROI,standardized,210,48,48,correlation,0.1618819534778595,0.0099009900990099,100,21945,0.956333482820177,1.050088137090426,0.0937546542702489,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE set,TRIBE 5ROI abs,standardized,210,35,35,correlation,0.1610118746757507,0.0099009900990099,100,21945,0.948586386744568,1.0574496881706188,0.1088633014260509,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI,TRIBE ROI Ventral striatum,standardized,210,7,7,correlation,0.1483295708894729,0.0099009900990099,100,21945,0.9043468997648982,1.092366009511525,0.1880191097466268,subcortical_ventral_striatum_accumbens,
common_clip_clap_asr_acr_tribe,top_bottom25_category,Combined,ACR + TRIBE 5ROI,pca50,210,79,50,correlation,0.147428810596466,0.0099009900990099,100,21945,0.9653540058920714,1.041991815306602,0.0766378094145304,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE set,TRIBE all available ROI abs,pca50,210,77,50,correlation,0.1464166045188903,0.0099009900990099,100,21945,0.9526993044615598,1.050855532148,0.0981562276864401,,
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Whole,standardized,210,1,1,euclidean,0.1459474265575409,0.0099009900990099,100,21945,1.028279714149322,1.2696329304160556,0.2413532162667335,cortical_dlPFC,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Peak 10s,standardized,210,1,1,euclidean,0.1389361768960952,0.0099009900990099,100,21945,1.0201570856846358,1.2642215726467827,0.2440644869621469,cortical_dlPFC,rolling_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Abs peak 10s,standardized,210,1,1,euclidean,0.1375675946474075,0.0099009900990099,100,21945,1.0223514453787474,1.2601081353684525,0.237756689989705,cortical_dlPFC,rolling_abs_peak_10s
